Tiros,met0,met1,met2,met3,met4,met5,met6,met7,met8,met9,met10,met11,met12,met13,met14,met15,met16,met17,met18,met19,met20,met21,met22,met23,met24,met25,met26,met27,met28,met29,met30,met31,met32,met33,met34,met35,met36,met37,met38
lineal3,17.2443,0.000731183,0.14588,0.288038,0.399888,0.146165,7.40256,0.000121742,6.90769,0.144786,7.19657,6.53399,10.2076,10.7193,0.913437,11.471,10.2076,10.2076,10.7193,0.913437,10.7193,11.471,0.0,0.255674,0.33342,0.0,0.00134356,0.000100938,0.0,0.0700173,0.131653,0.0,3.70568,5.11828,0.0,5.0455,6.00217,0.0,6.15945
cuadr10,8.5,39.5,23.5,8.5,0.5,32.5,39.5,7.5,16.5,12.4304,16.5,24.5,39.5,24.5,33.7023,1.9494,39.5,39.5,24.5,33.7023,24.5,1.9494,8.5,16.5,0.5,8.5,0.5,7.5,8.5,0.5,7.22467,8.5,14.5,16.5,8.5,32.5,32.5,8.5,24.5
cuadr3,0.0,27.2957,0.273751,2.69231,0.832943,25.6923,26.6923,0.137894,5.30769,2.69231,9.85691,5.30769,26.8145,19.9333,32.8714,13.5977,26.8145,26.8145,19.9333,32.8714,19.9333,13.5977,10.6923,0.604021,0.397221,10.6923,0.0789526,0.807049,10.6923,0.0988808,0.400763,10.6923,2.69231,7.44231,10.6923,2.32308,2.69231,10.6923,2.75385
c5,25.0,37.0,1.92684,3.26307,3.93466,37.0,37.0,1.53376,21.0,0.811278,21.0,16.7033,37.0,17.0,14.0124,9.27154,37.0,37.0,17.0,14.0124,17.0,9.27154,13.0,1.3115,2.64926,13.0,0.152192,0.208517,13.0,0.399178,1.13739,13.0,3.75075,11.7507,13.0,11.7507,17.0,13.0,17.0
conj8,5.2,7.8,42.8,42.8,23.8,15.2,15.2,8.05324,23.8,15.8,15.8,15.8,15.2,8.2,11.8336,22.3844,15.2,15.2,8.2,11.8336,8.2,22.3844,15.8,23.8,38.8,15.8,2.43321,8.42085,15.8,0.2,15.8,15.8,7.8,15.8,15.8,0.2,15.8,15.8,15.8
c2,0.0,3.61111,1.66969,2.62329,2.68713,3.61111,3.61111,0.161722,20.0752,1.32798,20.0997,18.8071,3.61111,9.38023,12.852,12.2779,3.61111,3.61111,9.38023,12.852,9.38023,12.2779,0.0,0.557241,1.22295,0.0,0.248458,0.26766,0.0,0.678254,0.415582,0.0,0.388889,12.6362,0.0,8.38889,19.0556,0.0,18.3889
ex2,21.2647,21.2647,32.2647,13.2647,2.73529,18.7353,2.73529,6.51392,32.2647,21.2647,2.73529,5.26471,9.68271,10.7353,18.4041,2.65769,9.68271,9.68271,10.7353,18.4041,10.7353,2.65769,5.26471,13.2647,3.41159,5.26471,1.44809,1.49377,5.26471,13.2647,14.9472,5.26471,21.2647,12.6635,5.26471,29.2647,28.2647,5.26471,5.26471
ex1,0.0,11.5806,11.5806,0.419355,7.58065,46.4194,31.4194,34.4194,11.5806,11.5806,23.4194,15.4194,22.0843,46.1327,39.8762,44.1966,22.0843,22.0843,46.1327,39.8762,46.1327,44.1966,2.08065,0.0387522,7.58065,2.08065,23.4194,30.4194,2.08065,0.0687546,0.580645,2.08065,7.41935,23.4194,2.08065,0.180645,0.580645,2.08065,12.8194
cuadr6,30.6875,7.14841,23.1604,19.6875,30.6875,9.93383,3.6875,25.955,23.9246,25.2598,25.178,30.6875,15.0673,0.0406089,1.19799,2.89015,15.0673,15.0673,0.0406089,1.19799,0.0406089,2.89015,3.6875,26.6875,17.3903,3.6875,34.6875,31.4349,3.6875,34.6875,28.3807,3.6875,27.6875,19.6875,3.6875,26.6875,30.0208,3.6875,27.6875
cp70,1.96467,22.3121,0.208812,1.57066,1.15684,22.3028,23.9647,1.46506,22.0353,0.414955,25.6626,22.0353,22.1835,0.0353326,3.19671,0.495236,22.1835,22.1835,0.0353326,3.19671,0.0353326,0.495236,0.0,0.62566,0.290069,0.0,0.0173999,0.2846,0.0,0.616892,0.113786,0.0,22.0353,22.0353,0.0,22.0353,22.0353,0.0,22.0353
r1,21.5556,0.076907,1.36272,2.25428,2.51677,1.26073,12.4444,0.0929254,12.0331,1.11833,12.4444,8.44444,20.0841,12.4444,2.31492,12.4444,20.0841,20.0841,12.4444,2.31492,12.4444,12.4444,0.0,0.785659,0.848193,0.0,1.60128e-10,0.0123391,0.0,0.842466,0.126203,0.0,2.44444,2.44444,0.0,8.44444,8.44444,0.0,8.44444
fp70,22.8,26.8,46.8,30.8,22.8,11.2,11.2,31.304,39.8,31.8,31.8,23.8,1.2,12.8323,0.56893,5.2,1.2,1.2,12.8323,0.56893,12.8323,5.2,26.8,26.8,22.8,26.8,0.200038,7.8,26.8,15.8,15.8,26.8,32.8,31.8,26.8,23.8,23.8,26.8,7.8
cb1,12.3333,20.3333,17.9343,3.84998,3.86196,20.3333,20.3333,16.8218,36.3224,2.86767,12.3333,33.6667,20.3333,16.3333,1.68789,10.5496,20.3333,20.3333,16.3333,1.68789,16.3333,10.5496,4.33333,1.27734,2.49366,4.33333,0.468904,0.564888,4.33333,1.46381,0.851012,4.33333,18.6667,33.6667,4.33333,33.6667,33.6667,4.33333,9.66667
cuadr9,43.0,21.1322,40.0,32.0,16.0,39.0,19.4119,51.0,32.0,43.0,48.0,16.0,32.8754,32.7012,12.8562,28.9609,32.8754,32.8754,32.7012,12.8562,32.7012,28.9609,14.32,8.0,8.0,14.32,51.0,43.0,14.32,51.0,31.0,14.32,32.0,32.0,14.32,40.0,25.4286,14.32,32.0
cp30,8.41,1.59,0.00081875,0.0459947,0.0425177,1.59,1.59,0.102259,0.188159,0.0423352,0.0561964,0.50726,1.59,1.02023,6.9737,6.04864,1.59,1.59,1.02023,6.9737,1.02023,6.04864,0.0,0.133869,0.0408633,0.0,0.0848829,0.0980647,0.0,0.122708,0.0829285,0.0,2.4,1.39018,0.0,1.428,0.758571,0.0,0.644
conj2,2.12,18.12,10.805,10.8383,18.12,3.85123,12.9771,12.88,26.12,10.12,11.43,23.0089,13.2033,2.12,2.0206,19.4585,13.2033,13.2033,2.12,2.0206,2.12,19.4585,2.12,10.12,18.12,2.12,0.175863,5.88,2.12,2.12,10.12,2.12,2.12,18.12,2.12,2.12,25.38,2.12,10.56
